Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009

 R   1 G   1    235    203.152     11.066		0.8335932590817863 | 0.5263284629583059

 R   1 G   2    233    204.108     11.511		0.700024853848737 | 0.08196134951651202

 R   1 G   3    235    206.976     11.394		0.8861684226012162 | 0.033481590173461306

 R   1 G   4    229     208.66     10.254		0.9619142394233229 | 0.2634330398268583

 R   1 G   5    233    211.672     10.416		0.9803739196314838 | 0.005021571819097126

 R   1 G   6    231    213.752      9.377		0.5013346309456872 | 0.44445003046791565

 R   1 G   7    231    216.928      7.577		0.9619142394233229 | 0.2634330398268583

 R   1 G   8    229    217.968       6.61		1.0 | 0.04562536203009382

 R   1 G   9    231      219.1      5.676		0.8861684226012162 | 0.033481590173461306

 R   1 G  10    231    219.668      4.508		0.9803739196314838 | 0.005021571819097126

 R   1 G  11    229      219.9      3.996		0.99 | 0.04562536203009382

 R   1 G  12    231    220.036      4.072		0.997901979620712 | 0.04562536203009382

 R   1 G  13    229    220.072      3.874		0.997901979620712 | 0.04562536203009382

 R   1 G  14    229     220.14      4.003		0.987901979620712 | 0.04562536203009382

 R   1 G  15    229    219.724      3.798		0.997901979620712 | 0.04562536203009382

 R   1 G  16    229      220.3      3.815		0.997901979620712 | 0.05562536203009382

 R   1 G  17    231    219.976      4.001		0.997901979620712 | 0.05562536203009382

 R   1 G  18    233    220.084       3.89		0.9703739196314838 | 0.005021571819097126

 R   1 G  19    229     220.28      3.636		0.997901979620712 | 0.04562536203009382

 R   1 G  20    229     220.22      3.983		0.997901979620712 | 0.03562536203009382

 R   1 G  21    229    219.952       3.91		0.997901979620712 | 0.04562536203009382

 R   1 G  22    229    220.068      3.864		0.997901979620712 | 0.03562536203009382

 R   1 G  23    229    220.104      3.844		0.997901979620712 | 0.04562536203009382

 R   1 G  24    229     220.22      3.642		0.997901979620712 | 0.04562536203009382

 R   1 G  25    229    220.104       3.99		0.9803739196314838 | 0.0

 R   1 G  26    229    220.244       3.79		0.997901979620712 | 0.03562536203009382

 R   1 G  27    229    219.924      3.588		0.997901979620712 | 0.04562536203009382

 R   1 G  28    231    220.012       3.85		0.9803739196314838 | 0.0

 R   1 G  29    229    220.212       3.76		0.997901979620712 | 0.03562536203009382

 R   1 G  30    229    219.952      4.183		0.997901979620712 | 0.04562536203009382

 R   1 G  31    231    220.268      3.939		0.997901979620712 | 0.05562536203009382

 R   1 G  32    229    220.116      3.594		1.0 | 0.04562536203009382

 R   1 G  33    231    220.096      3.953		0.9803739196314838 | 0.0

 R   1 G  34    233     220.34      3.833		0.9803739196314838 | 0.01

 R   1 G  35    229     220.32      3.613		1.0 | 0.04562536203009382

 R   1 G  36    229    220.368      3.554		1.0 | 0.04562536203009382

 R   1 G  37    229    220.352      3.842		0.997901979620712 | 0.04562536203009382

 R   1 G  38    229    220.432      3.518		1.0 | 0.04562536203009382

 R   1 G  39    229    220.072       4.04		1.0 | 0.03562536203009382

 R   1 G  40    229    220.232      3.948		0.997901979620712 | 0.04562536203009382

 R   1 G  41    229    220.276      3.572		0.99 | 0.04562536203009382

 R   1 G  42    229     219.76      3.962		1.0 | 0.04562536203009382

 R   1 G  43    229    220.396      3.453		0.997901979620712 | 0.03562536203009382

 R   1 G  44    229    220.176      3.838		1.0 | 0.04562536203009382

 R   1 G  45    229     220.26      3.591		0.997901979620712 | 0.03562536203009382

 R   1 G  46    229    220.236      3.514		0.997901979620712 | 0.03562536203009382

 R   1 G  47    229     220.14      3.631		0.997901979620712 | 0.03562536203009382

 R   1 G  48    229    220.436      3.667		0.997901979620712 | 0.03562536203009382

 R   1 G  49    229    220.264      3.611		0.997901979620712 | 0.025625362030093815

 R   1 G  50    229    220.192      3.516		0.997901979620712 | 0.04562536203009382

 R   1 G  51    229    220.132      3.613		0.997901979620712 | 0.03562536203009382

 R   1 G  52    229     219.96      3.782		0.997901979620712 | 0.04562536203009382

 R   1 G  53    231    220.288      3.673		0.997901979620712 | 0.04562536203009382

 R   1 G  54    229     220.16      3.444		0.997901979620712 | 0.03562536203009382

 R   1 G  55    229    219.944      3.805		0.997901979620712 | 0.025625362030093815

 R   1 G  56    229    220.176      3.556		0.997901979620712 | 0.04562536203009382

 R   1 G  57    229    220.104      3.636		0.997901979620712 | 0.03562536203009382

 R   1 G  58    229    220.304      3.585		0.997901979620712 | 0.025625362030093815

 R   1 G  59    229    220.308      3.553		0.997901979620712 | 0.03562536203009382

 R   1 G  60    229    220.376      3.706		0.997901979620712 | 0.03562536203009382

 R   1 G  61    229    220.264      3.532		1.0 | 0.03562536203009382

 R   1 G  62    229    220.336       3.62		0.997901979620712 | 0.03562536203009382

 R   1 G  63    229    220.328      3.465		0.997901979620712 | 0.03562536203009382

 R   1 G  64    229     219.92      3.588		0.997901979620712 | 0.03562536203009382

 R   1 G  65    229    220.256      3.473		0.997901979620712 | 0.03562536203009382

 R   1 G  66    229      220.1      3.585		0.997901979620712 | 0.025625362030093815

 R   1 G  67    229     219.78      3.664		0.997901979620712 | 0.03562536203009382

 R   1 G  68    229    219.928      3.611		1.0 | 0.04562536203009382

 R   1 G  69    229      220.2      3.639		0.997901979620712 | 0.03562536203009382

 R   1 G  70    229    220.292      3.769		0.997901979620712 | 0.03562536203009382

 R   1 G  71    229    220.156      3.395		1.0 | 0.04562536203009382

 R   1 G  72    229    220.136      3.537		0.997901979620712 | 0.03562536203009382

 R   1 G  73    229     220.14      3.512		1.0 | 0.03562536203009382

 R   1 G  74    229    220.192      3.642		1.0 | 0.04562536203009382

 R   1 G  75    229    220.396      3.432		1.0 | 0.04562536203009382

 R   1 G  76    229    220.168      3.599		1.0 | 0.025625362030093815

 R   1 G  77    229    220.136      3.742		1.0 | 0.04562536203009382

