Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  200
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0   1496    1359.42      51.39		0.8706525965322613 | 0.13296164268902222

 R   1 G   1   1586    1375.55     53.337		0.9803739196314838 | 0.005021571819097126

 R   1 G   2   1586    1398.13     58.333		0.9803739196314838 | 0.005021571819097126

 R   1 G   3   1572     1416.8     52.481		0.9803739196314838 | 0.005021571819097126

 R   1 G   4   1604    1430.13     52.896		0.9803739196314838 | 0.005021571819097126

 R   1 G   5   1606    1453.87     59.029		0.9803739196314838 | 0.005021571819097126

 R   1 G   6   1604     1483.4     58.463		0.9803739196314838 | 0.005021571819097126

 R   1 G   7   1610    1497.19     51.559		0.9803739196314838 | 0.005021571819097126

 R   1 G   8   1622    1514.57     53.692		0.9803739196314838 | 0.005021571819097126

 R   1 G   9   1614    1512.16     52.049		0.9803739196314838 | 0.005021571819097126

 R   1 G  10   1610    1523.11     52.481		0.9803739196314838 | 0.005021571819097126

 R   1 G  11   1608    1527.43     48.547		0.9803739196314838 | 0.005021571819097126

 R   1 G  12   1610    1524.48     51.267		0.9903739196314838 | 0.005021571819097126

 R   1 G  13   1610    1531.56     50.846		0.9903739196314838 | 0.005021571819097126

 R   1 G  14   1618    1539.52      48.29		0.9903739196314838 | 0.005021571819097126

 R   1 G  15   1614    1546.11     41.826		0.9903739196314838 | 0.005021571819097126

 R   1 G  16   1612    1547.72     41.238		0.9903739196314838 | 0.005021571819097126

 R   1 G  17   1612    1544.61     45.276		0.9903739196314838 | 0.005021571819097126

 R   1 G  18   1616     1549.9     44.622		0.9903739196314838 | 0.005021571819097126

 R   1 G  19   1614     1554.3      43.85		0.9903739196314838 | 0.005021571819097126

 R   1 G  20   1620    1546.43      43.55		0.9903739196314838 | 0.005021571819097126

 R   1 G  21   1612     1550.5     40.774		0.9903739196314838 | 0.015021571819097126

 R   1 G  22   1610    1552.46     44.879		0.9903739196314838 | 0.005021571819097126

 R   1 G  23   1610    1558.89      43.95		0.9903739196314838 | 0.005021571819097126

 R   1 G  24   1610    1561.41      43.09		1.0 | 0.005021571819097126

 R   1 G  25   1616    1568.24     42.628		0.9903739196314838 | 0.005021571819097126

 R   1 G  26   1622    1579.18     35.945		0.9903739196314838 | 0.005021571819097126

 R   1 G  27   1622     1584.7     30.337		1.0 | 0.005021571819097126

 R   1 G  28   1620    1593.35     17.518		1.0 | 0.005021571819097126

 R   1 G  29   1614    1596.74      7.274		1.0 | 0.005021571819097126

 R   1 G  30   1614    1596.15      6.945		1.0 | 0.005021571819097126

 R   1 G  31   1618    1594.47     15.461		1.0 | 0.005021571819097126

 R   1 G  32   1614    1596.21      7.675		1.0 | 0.005021571819097126

 R   1 G  33   1616    1595.83      7.949		1.0 | 0.005021571819097126

 R   1 G  34   1624    1596.73      7.904		1.0 | 0.005021571819097126

 R   1 G  35   1614    1595.87      7.899		1.0 | 0.005021571819097126

 R   1 G  36   1616    1596.37      9.851		1.0 | 0.015021571819097126

 R   1 G  37   1618    1595.66      9.507		1.0 | 0.005021571819097126

 R   1 G  38   1620    1595.87      7.825		1.0 | 0.005021571819097126

 R   1 G  39   1616    1594.84     11.385		1.0 | 0.005021571819097126

 R   1 G  40   1618    1596.24      9.311		1.0 | 0.005021571819097126

 R   1 G  41   1612    1596.09      6.547		1.0 | 0.005021571819097126

 R   1 G  42   1616    1596.23      8.021		1.0 | 0.005021571819097126

 R   1 G  43   1618    1596.26      7.797		1.0 | 0.0

 R   1 G  44   1614    1596.69      7.536		1.0 | 0.005021571819097126

 R   1 G  45   1618     1596.7      8.044		1.0 | 0.005021571819097126

 R   1 G  46   1612    1595.28      8.174		1.0 | 0.005021571819097126

 R   1 G  47   1614    1595.23     11.051		1.0 | 0.0

 R   1 G  48   1618    1595.96      7.614		1.0 | 0.005021571819097126

 R   1 G  49   1612    1596.12      7.814		1.0 | 0.005021571819097126

 R   1 G  50   1618    1594.98      8.419		1.0 | 0.005021571819097126

 R   1 G  51   1624    1596.22      7.251		1.0 | 0.0

 R   1 G  52   1612    1594.87     13.347		1.0 | 0.005021571819097126

 R   1 G  53   1622    1595.61      8.968		1.0 | 0.005021571819097126

 R   1 G  54   1612    1596.17      9.404		1.0 | 0.005021571819097126

 R   1 G  55   1616    1596.66      7.722		1.0 | 0.005021571819097126

 R   1 G  56   1616    1595.15      8.916		1.0 | 0.0

 R   1 G  57   1616    1595.94     10.397		1.0 | 0.005021571819097126

 R   1 G  58   1614    1594.37     11.055		1.0 | 0.005021571819097126

 R   1 G  59   1614    1595.06     12.262		1.0 | 0.005021571819097126

 R   1 G  60   1616    1595.38      7.288		1.0 | 0.0

 R   1 G  61   1614    1595.44      8.289		1.0 | 0.005021571819097126

 R   1 G  62   1618    1595.99       10.0		1.0 | 0.005021571819097126

 R   1 G  63   1616    1595.15     10.088		1.0 | 0.005021571819097126

 R   1 G  64   1618    1596.26      7.567		1.0 | 0.0

 R   1 G  65   1618    1597.85      6.734		1.0 | 0.005021571819097126

 R   1 G  66   1616     1594.6      10.86		1.0 | 0.005021571819097126

 R   1 G  67   1614    1595.57      8.897		1.0 | 0.0

 R   1 G  68   1616    1596.33     10.005		1.0 | 0.005021571819097126

 R   1 G  69   1616    1596.21      7.417		1.0 | 0.005021571819097126

 R   1 G  70   1614    1595.96      7.472		1.0 | 0.005021571819097126

 R   1 G  71   1614    1595.68      7.322		1.0 | 0.0

 R   1 G  72   1616    1594.47     14.537		1.0 | 0.005021571819097126

 R   1 G  73   1614    1595.94      8.134		1.0 | 0.0

