Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    173     147.29      9.411		0.01879760767170746 | 0.06135201897844156

 R   1 G   1    173     147.84      8.958		0.5973590784187305 | 0.638979620196674

 R   1 G   2    173    148.556      8.796		0.8239073096175991 | 0.7989635613456121

 R   1 G   3    173    149.316      8.342		0.7954083637727847 | 0.173053456746187

 R   1 G   4    177    149.848      7.976		0.4134681360947685 | 0.06790581835278076

 R   1 G   5    173     150.32      8.454		0.7484725258242896 | 0.06287595397614842

 R   1 G   6    177    150.874       7.97		0.3598177372321232 | 0.3243562497306023

 R   1 G   7    177    152.026      7.332		0.3389774957162398 | 0.09584266119718399

 R   1 G   8    173    152.254      7.112		0.7723909863068559 | 0.23906478678505694

 R   1 G   9    171     152.16      7.051		0.7723909863068559 | 0.23906478678505694

 R   1 G  10    175    152.936      7.025		0.5841229347818957 | 0.12086888895193026

 R   1 G  11    173    153.126      6.431		0.6160075617746196 | 0.2994242699821327

 R   1 G  12    173    153.808      6.408		0.503960397394668 | 0.027392202594426984

 R   1 G  13    173    154.068      6.098		0.7854256119101621 | 0.14060106480805123

 R   1 G  14    169      154.2       6.01		0.5247038193882426 | 0.12615914961267305

 R   1 G  15    177    154.512      6.077		0.5588299749657155 | 0.3211490725424436

 R   1 G  16    169    154.552      5.417		0.9491336064635693 | 0.048549516035404805

 R   1 G  17    171    154.672      5.524		0.9491336064635693 | 0.05854951603540481

 R   1 G  18    169    154.454      5.469		0.914083904579744 | 0.02519281940802054

 R   1 G  19    171     155.15      5.439		0.9491336064635693 | 0.048549516035404805

 R   1 G  20    169    154.738      5.369		0.9491336064635693 | 0.048549516035404805

 R   1 G  21    171    154.932      5.153		0.7854256119101621 | 0.13060106480805123

 R   1 G  22    169    154.804      5.419		0.9491336064635693 | 0.048549516035404805

 R   1 G  23    169    155.154      5.271		0.9291336064635692 | 0.048549516035404805

 R   1 G  24    169    155.366      5.175		0.914083904579744 | 0.02519281940802054

 R   1 G  25    169    155.024      5.365		0.9491336064635693 | 0.048549516035404805

 R   1 G  26    171    154.756      5.417		0.9491336064635693 | 0.048549516035404805

 R   1 G  27    169    155.026       5.23		0.914083904579744 | 0.015192819408020539

 R   1 G  28    169    154.972      5.166		0.9491336064635693 | 0.048549516035404805

 R   1 G  29    169     155.22      5.064		0.914083904579744 | 0.02519281940802054

 R   1 G  30    167     155.41      5.128		0.9491336064635693 | 0.048549516035404805

 R   1 G  31    171    155.066      5.258		0.9391336064635692 | 0.048549516035404805

 R   1 G  32    169    155.336      5.257		0.914083904579744 | 0.02519281940802054

 R   1 G  33    169    155.298      5.011		0.9491336064635693 | 0.048549516035404805

 R   1 G  34    169     155.16      5.082		0.9491336064635693 | 0.048549516035404805

 R   1 G  35    169    155.328      5.104		0.9391336064635692 | 0.048549516035404805

 R   1 G  36    171    155.266      5.248		0.914083904579744 | 0.02519281940802054

 R   1 G  37    171    155.134      5.132		0.9491336064635693 | 0.048549516035404805

 R   1 G  38    169    155.416      5.155		0.914083904579744 | 0.02519281940802054

 R   1 G  39    173    155.276      5.056		0.9591336064635693 | 0.048549516035404805

 R   1 G  40    169     155.11       5.29		0.914083904579744 | 0.02519281940802054

 R   1 G  41    167    155.332      5.135		0.9491336064635693 | 0.048549516035404805

 R   1 G  42    167    155.188      5.031		0.9491336064635693 | 0.048549516035404805

 R   1 G  43    169    155.094      5.066		0.9591336064635693 | 0.048549516035404805

 R   1 G  44    171     155.22      5.112		0.9391336064635692 | 0.048549516035404805

 R   1 G  45    171    155.508      5.021		0.9491336064635693 | 0.048549516035404805

 R   1 G  46    171    154.886       5.04		0.9491336064635693 | 0.048549516035404805

 R   1 G  47    169     155.25      5.003		0.9491336064635693 | 0.048549516035404805

 R   1 G  48    171    155.254      5.051		0.914083904579744 | 0.02519281940802054

 R   1 G  49    173    155.572      5.029		0.9491336064635693 | 0.06854951603540481

 R   1 G  50    169    155.182      5.159		0.9491336064635693 | 0.048549516035404805

 R   1 G  51    167    155.434      4.975		0.914083904579744 | 0.02519281940802054

 R   1 G  52    169    155.384      4.912		0.9491336064635693 | 0.048549516035404805

 R   1 G  53    171    154.904      5.196		0.914083904579744 | 0.02519281940802054

 R   1 G  54    169    155.162       5.11		0.9491336064635693 | 0.048549516035404805

 R   1 G  55    169    155.366      4.835		0.9491336064635693 | 0.048549516035404805

 R   1 G  56    169    155.532       5.06		0.9491336064635693 | 0.0385495160354048

 R   1 G  57    169    155.482      4.929		0.9491336064635693 | 0.0385495160354048

 R   1 G  58    171     155.36      4.986		0.9391336064635692 | 0.048549516035404805

 R   1 G  59    169    155.404      4.965		0.9491336064635693 | 0.048549516035404805

 R   1 G  60    169    155.298      5.074		0.9491336064635693 | 0.048549516035404805

 R   1 G  61    169    155.516      4.989		0.9491336064635693 | 0.05854951603540481

 R   1 G  62    171     155.67      4.853		0.9491336064635693 | 0.0385495160354048

 R   1 G  63    169    155.048      5.036		0.9491336064635693 | 0.048549516035404805

 R   1 G  64    169     155.32      5.045		0.9491336064635693 | 0.0385495160354048

 R   1 G  65    169     155.45      4.897		0.9491336064635693 | 0.05854951603540481

 R   1 G  66    171    155.472      4.961		0.9491336064635693 | 0.048549516035404805

 R   1 G  67    169    155.514      5.024		0.9491336064635693 | 0.0385495160354048

 R   1 G  68    167    155.212      5.049		0.9491336064635693 | 0.048549516035404805

 R   1 G  69    169    155.402      4.899		0.9491336064635693 | 0.048549516035404805

 R   1 G  70    169     155.45      5.023		0.9391336064635692 | 0.048549516035404805

 R   1 G  71    167    155.028      4.821		0.9491336064635693 | 0.048549516035404805

 R   1 G  72    171    155.574      5.012		0.9491336064635693 | 0.048549516035404805

 R   1 G  73    173     155.12      4.851		0.9491336064635693 | 0.05854951603540481

 R   1 G  74    167    155.448      4.919		0.9891336064635693 | 0.048549516035404805

 R   1 G  75    169    155.674      4.854		0.9491336064635693 | 0.048549516035404805

 R   1 G  76    167    155.394      5.026		0.9591336064635693 | 0.048549516035404805

 R   1 G  77    169     155.44      4.913		0.9491336064635693 | 0.048549516035404805

 R   1 G  78    167     155.47      4.784		0.9491336064635693 | 0.048549516035404805

 R   1 G  79    169     155.55      4.814		0.9591336064635693 | 0.0385495160354048

 R   1 G  80    167    155.786      4.502		0.9491336064635693 | 0.05854951603540481

 R   1 G  81    169    155.546      4.746		0.9391336064635692 | 0.048549516035404805

 R   1 G  82    169    155.536      4.669		0.9491336064635693 | 0.048549516035404805

 R   1 G  83    169    155.556       4.69		0.9491336064635693 | 0.05854951603540481

