Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923

 R   1 G   1    144     119.93      7.676		0.38836790205446936 | 0.5955662834387623

 R   1 G   2    146    120.174      7.916		0.36093454059404484 | 0.4469690793050065

 R   1 G   3    142      120.8      7.322		0.1568902448743602 | 0.5068356916092785

 R   1 G   4    140    121.388      7.012		0.8724359135027308 | 0.05175648260632171

 R   1 G   5    142    121.956      6.791		0.059615385833903134 | 0.17023545929290929

 R   1 G   6    142    122.124      6.786		0.12599121287321158 | 0.0922771370738803

 R   1 G   7    150    122.468        6.9		0.21141332423208548 | 0.29226922364793784

 R   1 G   8    144    122.686      6.657		0.20488362431316565 | 0.14021431266620243

 R   1 G   9    144    122.422       6.58		0.29924907781298227 | 0.28995396902975623

 R   1 G  10    144    122.506       6.69		0.239259979427222 | 0.1351947062423028

 R   1 G  11    144    122.544      6.354		0.5357705768545975 | 0.1963225401168862

 R   1 G  12    142     122.72      6.094		0.28394784444313337 | 0.029208819079435955

 R   1 G  13    142    122.772      6.009		0.3089266321033669 | 0.08309020917170618

 R   1 G  14    140    122.766      5.995		0.21141332423208548 | 0.29226922364793784

 R   1 G  15    150    122.984      6.142		0.3744857396693654 | 0.11709224755120073

 R   1 G  16    142     122.89      6.003		0.21141332423208548 | 0.29226922364793784

 R   1 G  17    144    123.028       5.83		0.6162283247976098 | 0.2978858701586603

 R   1 G  18    140    123.238      5.642		0.29924907781298227 | 0.28995396902975623

 R   1 G  19    146    123.522      5.339		0.2286588283086295 | 0.35764222888645636

 R   1 G  20    142    123.512      5.405		0.015179659645037646 | 0.013602569974838108

 R   1 G  21    142    123.416      5.277		0.21123447893247815 | 0.1079759764010294

 R   1 G  22    146    123.326      5.287		0.29924907781298227 | 0.28995396902975623

 R   1 G  23    142     123.52      5.553		0.5357705768545975 | 0.1963225401168862

 R   1 G  24    144    123.566        5.0		0.2989266321033669 | 0.08309020917170618

 R   1 G  25    142      123.6      4.962		0.29924907781298227 | 0.28995396902975623

 R   1 G  26    140     123.61      5.201		0.29924907781298227 | 0.28995396902975623

 R   1 G  27    144     123.64      5.148		0.2989266321033669 | 0.07309020917170618

 R   1 G  28    148    123.362       5.32		0.2989266321033669 | 0.08309020917170618

 R   1 G  29    140    123.474      5.024		0.3744857396693654 | 0.11709224755120073

 R   1 G  30    144    123.428      4.815		0.29924907781298227 | 0.28995396902975623

 R   1 G  31    138    123.586      4.888		0.3092490778129823 | 0.28995396902975623

 R   1 G  32    142    123.794      5.011		0.21123447893247815 | 0.1079759764010294

 R   1 G  33    144    123.538      5.172		0.2286588283086295 | 0.35764222888645636

 R   1 G  34    144    123.738      4.888		0.29924907781298227 | 0.28995396902975623

