Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348     205.64     73.431		0.10070556186895041 | 0.06107305562731147

 R   1 G   1    350     217.12     65.779		0.0035138532294655134 | 0.10398404434718655

 R   1 G   2    350     218.98     76.012		0.0035138532294655134 | 0.10398404434718655

 R   1 G   3    350     205.62     73.782		0.0035138532294655134 | 0.10398404434718655

 R   1 G   4    350     217.86     67.282		0.0 | 0.10398404434718655

 R   1 G   5    348     218.84     63.277		0.030430337224557458 | 0.6257911538337644

 R   1 G   6    344     207.28     70.685		0.12426529760879411 | 0.213439337404433

 R   1 G   7    344     218.14     75.291		0.11426529760879411 | 0.213439337404433

 R   1 G   8    344      211.3     65.556		0.11426529760879411 | 0.223439337404433

 R   1 G   9    340     218.42     68.253		0.11426529760879411 | 0.213439337404433

 R   1 G  10    342     199.98     63.284		0.20476897943284578 | 0.8092435169200227

 R   1 G  11    342     197.48     69.245		0.11426529760879411 | 0.213439337404433

 R   1 G  12    344     213.14     62.176		0.11426529760879411 | 0.213439337404433

 R   1 G  13    340     203.26     59.609		0.11426529760879411 | 0.213439337404433

 R   1 G  14    344     219.74      65.16		0.11426529760879411 | 0.213439337404433

 R   1 G  15    346     214.16     55.784		0.11426529760879411 | 0.223439337404433

 R   1 G  16    320     209.76     54.081		0.19476897943284577 | 0.8092435169200227

 R   1 G  17    338     214.94     47.798		0.19476897943284577 | 0.8092435169200227

 R   1 G  18    330     209.48     51.756		0.20476897943284578 | 0.8092435169200227

 R   1 G  19    270     214.18     45.318		0.8797900622388883 | 0.16288664488529336

 R   1 G  20    272     211.62     48.807		0.8897900622388883 | 0.16288664488529336

 R   1 G  21    274     209.18     50.399		0.8697900622388883 | 0.16288664488529336

 R   1 G  22    274      216.2     48.122		0.8797900622388883 | 0.15288664488529335

 R   1 G  23    268     214.64     45.742		0.8897900622388883 | 0.16288664488529336

 R   1 G  24    272      216.3     49.422		0.8897900622388883 | 0.16288664488529336

 R   1 G  25    274     210.48     52.406		0.8797900622388883 | 0.16288664488529336

 R   1 G  26    272     213.78     47.102		0.8897900622388883 | 0.17288664488529337

 R   1 G  27    276      205.2     52.298		0.8897900622388883 | 0.16288664488529336

 R   1 G  28    270     202.22     47.432		0.8797900622388883 | 0.16288664488529336

 R   1 G  29    270      214.9     50.061		0.8797900622388883 | 0.17288664488529337

 R   1 G  30    272     212.94     48.056		0.8697900622388883 | 0.16288664488529336

 R   1 G  31    274      212.3     50.585		0.8897900622388883 | 0.16288664488529336

 R   1 G  32    268     212.82      44.03		0.8797900622388883 | 0.16288664488529336

 R   1 G  33    270     214.28     50.373		0.8797900622388883 | 0.16288664488529336

 R   1 G  34    268     202.68      50.65		0.8797900622388883 | 0.16288664488529336

 R   1 G  35    270     203.16     52.362		0.8897900622388883 | 0.15288664488529335

 R   1 G  36    276     216.58     47.367		0.8697900622388883 | 0.16288664488529336

 R   1 G  37    266     210.46     48.227		0.8797900622388883 | 0.16288664488529336

 R   1 G  38    272      218.7     48.511		0.8797900622388883 | 0.16288664488529336

 R   1 G  39    268     218.76     43.905		0.8897900622388883 | 0.16288664488529336

 R   1 G  40    266      206.7     51.778		0.8897900622388883 | 0.16288664488529336

 R   1 G  41    272     219.32     44.859		0.8797900622388883 | 0.16288664488529336

 R   1 G  42    276     209.94     47.579		0.8697900622388883 | 0.16288664488529336

 R   1 G  43    272     212.78     50.214		0.8797900622388883 | 0.16288664488529336

 R   1 G  44    272      210.3     48.405		0.8697900622388883 | 0.16288664488529336

 R   1 G  45    270     209.36     47.635		0.8697900622388883 | 0.14288664488529335

 R   1 G  46    270     206.92     49.823		0.8697900622388883 | 0.15288664488529335

 R   1 G  47    270     209.04     47.807		0.8897900622388883 | 0.16288664488529336

 R   1 G  48    268     202.78     50.856		0.8697900622388883 | 0.15288664488529335

 R   1 G  49    270     219.38     46.922		0.8897900622388883 | 0.16288664488529336

 R   1 G  50    268     216.66     46.822		0.8997900622388884 | 0.15288664488529335

 R   1 G  51    274     214.56     52.643		0.8697900622388883 | 0.14288664488529335

 R   1 G  52    270     211.34     49.229		0.8697900622388883 | 0.16288664488529336

 R   1 G  53    272     210.34     48.441		0.8697900622388883 | 0.14288664488529335

 R   1 G  54    274     219.78       46.0		0.8597900622388883 | 0.17288664488529337

 R   1 G  55    272     218.26     45.563		0.8897900622388883 | 0.17288664488529337

 R   1 G  56    272      213.7     48.617		0.8897900622388883 | 0.1928866448852934

 R   1 G  57    268     217.08     45.614		0.8897900622388883 | 0.15288664488529335

 R   1 G  58    270     207.02     51.086		0.8697900622388883 | 0.16288664488529336

 R   1 G  59    270     209.82     49.333		0.8897900622388883 | 0.1928866448852934

 R   1 G  60    268     222.68     44.173		0.8697900622388883 | 0.12288664488529334

 R   1 G  61    268     220.26     45.637		0.8897900622388883 | 0.16288664488529336

 R   1 G  62    276     215.92     52.229		0.8697900622388883 | 0.17288664488529337

 R   1 G  63    272     226.52     44.875		0.8697900622388883 | 0.15288664488529335

 R   1 G  64    274     216.82     46.456		0.8697900622388883 | 0.16288664488529336

 R   1 G  65    270     213.54     48.721		0.8897900622388883 | 0.14288664488529335

 R   1 G  66    276     218.92     47.994		0.8697900622388883 | 0.17288664488529337

 R   1 G  67    280     213.86     47.025		0.8697900622388883 | 0.16288664488529336

 R   1 G  68    272     217.82     46.075		0.8497900622388883 | 0.16288664488529336

 R   1 G  69    274     216.22     47.212		0.8897900622388883 | 0.13288664488529334

 R   1 G  70    272     211.52     54.036		0.8597900622388883 | 0.15288664488529335

 R   1 G  71    270     206.24     50.626		0.8797900622388883 | 0.16288664488529336

 R   1 G  72    272     218.96     49.443		0.8697900622388883 | 0.16288664488529336

 R   1 G  73    274     207.26      49.41		0.8597900622388883 | 0.17288664488529337

 R   1 G  74    272      218.4     44.516		0.8597900622388883 | 0.17288664488529337

 R   1 G  75    270     214.32     51.617		0.8697900622388883 | 0.17288664488529337

 R   1 G  76    276     222.72     44.086		0.8697900622388883 | 0.15288664488529335

 R   1 G  77    272      215.1     49.446		0.8697900622388883 | 0.17288664488529337

 R   1 G  78    272     215.28     48.509		0.8597900622388883 | 0.2028866448852934

 R   1 G  79    270     204.92     47.849		0.8597900622388883 | 0.17288664488529337

 R   1 G  80    276      214.5     48.976		0.8597900622388883 | 0.15288664488529335

 R   1 G  81    272      209.2     51.439		0.8597900622388883 | 0.15288664488529335

 R   1 G  82    270      216.6     45.838		0.8497900622388883 | 0.17288664488529337

 R   1 G  83    272     210.94     46.209		0.8597900622388883 | 0.15288664488529335

 R   1 G  84    284     207.88     54.519		0.8397900622388883 | 0.16288664488529336

 R   1 G  85    274      219.0     45.521		0.8597900622388883 | 0.17288664488529337

 R   1 G  86    278     221.96     46.237		0.8397900622388883 | 0.16288664488529336

 R   1 G  87    276     218.58     44.049		0.8497900622388883 | 0.18288664488529338

 R   1 G  88    274      217.3     48.724		0.8597900622388883 | 0.18288664488529338

 R   1 G  89    270     210.68     51.101		0.8697900622388883 | 0.16288664488529336

 R   1 G  90    272      201.5     54.801		0.8697900622388883 | 0.17288664488529337

 R   1 G  91    272     212.52     47.115		0.8697900622388883 | 0.15288664488529335

 R   1 G  92    274     214.94     49.269		0.8597900622388883 | 0.1928866448852934

 R   1 G  93    272     205.88     48.543		0.8697900622388883 | 0.16288664488529336

 R   1 G  94    278     218.32     53.357		0.8597900622388883 | 0.16288664488529336

 R   1 G  95    276     214.86     46.045		0.8597900622388883 | 0.1928866448852934

 R   1 G  96    274     217.38     49.268		0.8497900622388883 | 0.1928866448852934

 R   1 G  97    280     214.66     50.021		0.8497900622388883 | 0.17288664488529337

 R   1 G  98    276     210.48      46.69		0.8497900622388883 | 0.14288664488529335

 R   1 G  99    278     210.32     52.095		0.8497900622388883 | 0.18288664488529338

1      1###################### RawFitness
           0          0          350

 R   2 G   0    350     203.26     74.763		0.007196445096318116 | 0.7320128658795073

 R   2 G   1    350      204.9     80.394		0.025045337794752154 | 0.018752432680249953

 R   2 G   2    350     212.48     73.349		0.013513502409220446 | 0.5438724647806633

 R   2 G   3    350     201.44     71.111		0.013513502409220446 | 0.5438724647806633

 R   2 G   4    346     221.14     70.043		0.04987361042951188 | 0.9765372798704737

 R   2 G   5    344      196.4     78.207		0.059873610429511885 | 0.9865372798704737

 R   2 G   6    346     205.82     84.185		0.059873610429511885 | 0.9865372798704737

 R   2 G   7    346     211.22     72.985		0.06987361042951189 | 0.9865372798704737

 R   2 G   8    344     205.54     80.855		0.06987361042951189 | 0.9865372798704737

 R   2 G   9    340     202.56     68.451		0.06987361042951189 | 0.9865372798704737

 R   2 G  10    348      228.9     73.588		0.03987361042951188 | 0.9765372798704737

 R   2 G  11    324     207.98     69.078		0.39712698727939155 | 0.21887040173078698

 R   2 G  12    318     208.48     69.252		0.37712698727939153 | 0.228870401730787

 R   2 G  13    322     213.32     67.238		0.38712698727939154 | 0.21887040173078698

 R   2 G  14    320     215.54     59.231		0.38712698727939154 | 0.21887040173078698

 R   2 G  15    322     212.54     59.988		0.38712698727939154 | 0.20887040173078697

 R   2 G  16    320      202.8       67.3		0.38712698727939154 | 0.20887040173078697

 R   2 G  17    314     209.98     55.279		0.38712698727939154 | 0.21887040173078698

 R   2 G  18    314      212.3     55.671		0.39712698727939155 | 0.21887040173078698

 R   2 G  19    314     208.76     54.214		0.38712698727939154 | 0.19887040173078696

 R   2 G  20    320     208.84     58.303		0.39712698727939155 | 0.19887040173078696

 R   2 G  21    310     200.02     55.298		0.37712698727939153 | 0.20887040173078697

 R   2 G  22    320     218.02     58.892		0.38712698727939154 | 0.20887040173078697

 R   2 G  23    312      212.6     58.316		0.38712698727939154 | 0.20887040173078697

 R   2 G  24    324     209.94     70.235		0.38712698727939154 | 0.21887040173078698

 R   2 G  25    324      203.6     62.454		0.38712698727939154 | 0.20887040173078697

 R   2 G  26    314     228.76     50.781		0.38712698727939154 | 0.21887040173078698

 R   2 G  27    320      221.0     59.292		0.38712698727939154 | 0.20887040173078697

 R   2 G  28    314     209.16     56.918		0.38712698727939154 | 0.20887040173078697

 R   2 G  29    324     210.76     57.258		0.37712698727939153 | 0.21887040173078698

 R   2 G  30    318     217.06     54.045		0.38712698727939154 | 0.21887040173078698

 R   2 G  31    312     202.38      51.82		0.38712698727939154 | 0.21887040173078698

 R   2 G  32    318      217.9      48.27		0.39712698727939155 | 0.21887040173078698

 R   2 G  33    304     220.36      46.69		0.38712698727939154 | 0.21887040173078698

 R   2 G  34    278     215.72     45.564		0.8209902001932408 | 0.07997969156856552

 R   2 G  35    278     223.78     47.188		0.8009902001932407 | 0.08997969156856551

 R   2 G  36    280     209.56     48.782		0.8209902001932408 | 0.08997969156856551

 R   2 G  37    278     212.12     47.256		0.8009902001932407 | 0.08997969156856551

 R   2 G  38    272     198.16     49.838		0.8109902001932408 | 0.08997969156856551

 R   2 G  39    278     211.02     49.789		0.8109902001932408 | 0.09997969156856551

 R   2 G  40    282     219.68     49.692		0.8209902001932408 | 0.07997969156856552

 R   2 G  41    280      206.5     48.227		0.8009902001932407 | 0.09997969156856551

 R   2 G  42    274      214.0     47.039		0.8209902001932408 | 0.09997969156856551

 R   2 G  43    278     217.02     47.931		0.7909902001932407 | 0.09997969156856551

 R   2 G  44    278     211.66     49.316		0.8009902001932407 | 0.09997969156856551

 R   2 G  45    280     212.58     49.619		0.8009902001932407 | 0.09997969156856551

 R   2 G  46    278     210.98     48.347		0.8009902001932407 | 0.09997969156856551

 R   2 G  47    278     217.08     45.788		0.8009902001932407 | 0.09997969156856551

 R   2 G  48    276     202.14     48.791		0.8209902001932408 | 0.09997969156856551

 R   2 G  49    280     208.84     50.426		0.8209902001932408 | 0.09997969156856551

 R   2 G  50    280     216.24      45.81		0.8209902001932408 | 0.09997969156856551

 R   2 G  51    278     207.58     49.743		0.8309902001932408 | 0.1099796915685655

 R   2 G  52    280      207.3     48.616		0.8209902001932408 | 0.09997969156856551

 R   2 G  53    276     215.28     45.851		0.8209902001932408 | 0.07997969156856552

 R   2 G  54    284     213.04     49.947		0.8109902001932408 | 0.1099796915685655

 R   2 G  55    278     215.44     48.924		0.7909902001932407 | 0.08997969156856551

 R   2 G  56    280     218.22     50.244		0.8209902001932408 | 0.06997969156856552

 R   2 G  57    276     211.02     45.369		0.8209902001932408 | 0.09997969156856551

 R   2 G  58    282      218.7     48.665		0.8109902001932408 | 0.08997969156856551

 R   2 G  59    280     223.54      47.09		0.8109902001932408 | 0.07997969156856552

 R   2 G  60    288     215.78     46.959		0.8009902001932407 | 0.08997969156856551

 R   2 G  61    282     207.72     45.703		0.7909902001932407 | 0.09997969156856551

 R   2 G  62    284     218.98     46.536		0.8009902001932407 | 0.08997969156856551

 R   2 G  63    286     209.06     49.328		0.8209902001932408 | 0.08997969156856551

 R   2 G  64    276     218.84     44.761		0.8309902001932408 | 0.05997969156856552

 R   2 G  65    282     214.06     48.743		0.8109902001932408 | 0.08997969156856551

 R   2 G  66    276     202.94     45.553		0.8209902001932408 | 0.05997969156856552

 R   2 G  67    276     217.82     46.087		0.8309902001932408 | 0.06997969156856552

 R   2 G  68    276     214.04     49.797		0.8009902001932407 | 0.08997969156856551

 R   2 G  69    286     219.32     48.433		0.8009902001932407 | 0.08997969156856551

 R   2 G  70    288     223.02     43.295		0.7909902001932407 | 0.08997969156856551

 R   2 G  71    278      215.6     46.428		0.8409902001932408 | 0.07997969156856552

 R   2 G  72    276     207.22     47.194		0.7909902001932407 | 0.08997969156856551

 R   2 G  73    282     217.12     50.048		0.8109902001932408 | 0.05997969156856552

 R   2 G  74    282     223.82     46.179		0.8109902001932408 | 0.06997969156856552

 R   2 G  75    280     207.74     49.656		0.8009902001932407 | 0.06997969156856552

 R   2 G  76    282      208.2     49.002		0.8309902001932408 | 0.06997969156856552

 R   2 G  77    280     213.08     49.035		0.8009902001932407 | 0.07997969156856552

 R   2 G  78    282      212.8     47.199		0.8209902001932408 | 0.06997969156856552

 R   2 G  79    282     212.48     48.535		0.8009902001932407 | 0.08997969156856551

 R   2 G  80    276     216.02     44.783		0.8209902001932408 | 0.07997969156856552

 R   2 G  81    278      213.9     51.037		0.8209902001932408 | 0.06997969156856552

 R   2 G  82    284      210.6     49.907		0.8209902001932408 | 0.03997969156856552

 R   2 G  83    280     210.64     48.703		0.8009902001932407 | 0.07997969156856552

 R   2 G  84    282     200.82     50.344		0.8209902001932408 | 0.04997969156856552

 R   2 G  85    278     213.48     48.914		0.8109902001932408 | 0.09997969156856551

 R   2 G  86    278      211.2     48.408		0.8109902001932408 | 0.07997969156856552

 R   2 G  87    274     219.26     48.614		0.8209902001932408 | 0.07997969156856552

 R   2 G  88    278     217.08     49.688		0.8109902001932408 | 0.1099796915685655

 R   2 G  89    278     222.04      43.66		0.8109902001932408 | 0.1099796915685655

 R   2 G  90    286     206.42     46.275		0.7909902001932407 | 0.09997969156856551

 R   2 G  91    288     202.36     47.988		0.8109902001932408 | 0.1099796915685655

 R   2 G  92    278     206.14     52.059		0.8209902001932408 | 0.08997969156856551

 R   2 G  93    290     215.54     48.323		0.8009902001932407 | 0.08997969156856551

 R   2 G  94    284      213.6     50.099		0.8109902001932408 | 0.08997969156856551

 R   2 G  95    286     218.02     50.389		0.7909902001932407 | 0.09997969156856551

 R   2 G  96    282     210.18      46.61		0.7909902001932407 | 0.09997969156856551

 R   2 G  97    284     214.76     45.963		0.7909902001932407 | 0.1099796915685655

 R   2 G  98    282      214.4     48.198		0.8109902001932408 | 0.1299796915685655

 R   2 G  99    280     215.76     48.233		0.8109902001932408 | 0.1099796915685655

2      0###################### RawFitness
           0          0          350

 R   3 G   0    334      210.4     70.389		0.24564960978073025 | 0.38938178596639617

 R   3 G   1    336     215.54     67.623		0.20609376723225947 | 0.32602761003979297

 R   3 G   2    334     207.14     66.995		0.22665146579598572 | 0.8296936549009802

 R   3 G   3    350     219.22      64.56		0.009414579198299022 | 0.4767105709426587

 R   3 G   4    350      218.0     69.942		0.009414579198299022 | 0.46671057094265866

 R   3 G   5    316     213.22     60.653		0.4400680017724192 | 0.1895707575565796

 R   3 G   6    350     206.84     66.831		0.0 | 0.46671057094265866

 R   3 G   7    350      217.0     60.747		0.0 | 0.46671057094265866

 R   3 G   8    326     206.82     63.125		0.4400680017724192 | 0.1995707575565796

 R   3 G   9    316     214.82     64.348		0.4400680017724192 | 0.1995707575565796

 R   3 G  10    320     210.98      58.28		0.4400680017724192 | 0.1995707575565796

 R   3 G  11    316     225.38     63.933		0.4400680017724192 | 0.1995707575565796

 R   3 G  12    316      219.8     56.844		0.4400680017724192 | 0.1995707575565796

 R   3 G  13    320     216.44     59.121		0.4400680017724192 | 0.2095707575565796

 R   3 G  14    322     210.44     58.551		0.45006800177241923 | 0.1995707575565796

 R   3 G  15    316      211.5     58.977		0.4400680017724192 | 0.1895707575565796

 R   3 G  16    322     213.14     61.189		0.4400680017724192 | 0.1995707575565796

 R   3 G  17    316     228.44     59.348		0.45006800177241923 | 0.1895707575565796

 R   3 G  18    312     215.18     59.834		0.4300680017724192 | 0.2095707575565796

 R   3 G  19    318     217.76     59.687		0.4400680017724192 | 0.1895707575565796

 R   3 G  20    322     215.58      61.56		0.45006800177241923 | 0.1895707575565796

 R   3 G  21    318     206.48     58.892		0.4400680017724192 | 0.1895707575565796

 R   3 G  22    324      216.2     56.848		0.4400680017724192 | 0.1895707575565796

 R   3 G  23    314     207.66     60.234		0.4400680017724192 | 0.1895707575565796

 R   3 G  24    320     221.32     63.631		0.4400680017724192 | 0.1895707575565796

 R   3 G  25    316     216.38     58.518		0.4300680017724192 | 0.17957075755657959

 R   3 G  26    320      218.9     66.495		0.4400680017724192 | 0.1895707575565796

 R   3 G  27    318     204.74     61.076		0.45006800177241923 | 0.17957075755657959

 R   3 G  28    318     210.48     48.838		0.4400680017724192 | 0.1995707575565796

 R   3 G  29    314     206.62     64.348		0.45006800177241923 | 0.16957075755657958

 R   3 G  30    318     211.48     55.164		0.45006800177241923 | 0.16957075755657958

