Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348      205.6     73.457		0.10070556186895041 | 0.06107305562731147

 R   1 G   1    350      217.0     65.774		0.0035138532294655134 | 0.10398404434718655

 R   1 G   2    350     218.46     74.882		0.0035138532294655134 | 0.10398404434718655

 R   1 G   3    350     205.02     74.355		0.0035138532294655134 | 0.10398404434718655

 R   1 G   4    348     205.32     79.205		0.030430337224557458 | 0.6157911538337644

 R   1 G   5    348     218.94     66.408		0.030430337224557458 | 0.6157911538337644

 R   1 G   6    348     205.14     68.016		0.030430337224557458 | 0.6157911538337644

 R   1 G   7    350     205.64     70.566		0.030430337224557458 | 0.6157911538337644

 R   1 G   8    348     200.94     77.124		0.030430337224557458 | 0.6157911538337644

 R   1 G   9    348     212.86     79.919		0.04043033722455746 | 0.6157911538337644

 R   1 G  10    350     194.44     81.402		0.030430337224557458 | 0.6157911538337644

 R   1 G  11    348     187.96     80.688		0.030430337224557458 | 0.6157911538337644

 R   1 G  12    350     210.54     80.766		0.030430337224557458 | 0.6157911538337644

 R   1 G  13    350     209.72     76.783		0.020430337224557456 | 0.6157911538337644

 R   1 G  14    350      209.0     77.725		0.04043033722455746 | 0.6057911538337644

 R   1 G  15    350     200.92     73.537		0.030430337224557458 | 0.6157911538337644

 R   1 G  16    350     200.92     86.576		0.030430337224557458 | 0.6157911538337644

 R   1 G  17    350     209.22      68.52		0.04043033722455746 | 0.6157911538337644

 R   1 G  18    350     204.88     81.785		0.010430337224557456 | 0.6157911538337644

 R   1 G  19    350     209.76      73.14		0.010430337224557456 | 0.6157911538337644

 R   1 G  20    350     204.22     79.016		4.3033722455745535E-4 | 0.6157911538337644

 R   1 G  21    350      208.4     81.096		0.020430337224557456 | 0.6357911538337644

 R   1 G  22    350     222.96     84.709		0.010430337224557456 | 0.6257911538337644

 R   1 G  23    350     211.34     82.258		0.020430337224557456 | 0.6157911538337644

 R   1 G  24    350     212.94     73.218		4.3033722455745535E-4 | 0.6157911538337644

 R   1 G  25    350      210.1     90.617		0.020430337224557456 | 0.6257911538337644

 R   1 G  26    350      207.8     85.952		0.020430337224557456 | 0.6157911538337644

 R   1 G  27    350     221.26     92.875		0.020430337224557456 | 0.5857911538337643

 R   1 G  28    350     216.04     74.865		0.05043033722455746 | 0.6057911538337644

 R   1 G  29    350     202.26     79.653		0.020430337224557456 | 0.6357911538337644

 R   1 G  30    350     223.06     75.363		0.05043033722455746 | 0.5957911538337644

 R   1 G  31    350     214.82     86.702		0.020430337224557456 | 0.6157911538337644

 R   1 G  32    350      212.2     85.186		0.020430337224557456 | 0.5757911538337643

 R   1 G  33    350     216.76     81.405		0.020430337224557456 | 0.6157911538337644

 R   1 G  34    350     221.02     81.327		0.020430337224557456 | 0.6157911538337644

 R   1 G  35    350     227.24     85.885		0.010430337224557456 | 0.5757911538337643

 R   1 G  36    350     225.26     89.846		0.020430337224557456 | 0.6157911538337644

 R   1 G  37    350     224.08       78.0		0.030430337224557458 | 0.6157911538337644

 R   1 G  38    350     201.36     83.175		0.030430337224557458 | 0.6257911538337644

