Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  500
Population Size              :  200
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    694      407.4    148.648		0.08587973090377177 | 0.397662397016992

 R   1 G   1    692     408.74    142.682		0.049403106965878345 | 0.20979917119667002

 R   1 G   2    676      403.4     133.19		0.12019032778505512 | 0.979557742838152

 R   1 G   3    700     424.67    144.635		0.003443806610848976 | 0.19232743276597553

 R   1 G   4    700     406.57    134.644		0.003443806610848976 | 0.19232743276597553

 R   1 G   5    700     398.78    134.992		0.003443806610848976 | 0.20232743276597553

 R   1 G   6    700     403.52    141.946		0.003443806610848976 | 0.20232743276597553

 R   1 G   7    700      423.4    137.238		0.013443806610848976 | 0.19232743276597553

 R   1 G   8    696     413.05    131.767		0.013443806610848976 | 0.19232743276597553

 R   1 G   9    652     402.31    127.051		0.3189774957162398 | 0.08584266119718399

 R   1 G  10    700      413.6    118.203		0.003443806610848976 | 0.18232743276597552

 R   1 G  11    700     426.05    117.896		0.003443806610848976 | 0.1723274327659755

 R   1 G  12    700      413.8    126.543		0.003443806610848976 | 0.18232743276597552

 R   1 G  13    700     426.96    118.563		0.003443806610848976 | 0.1723274327659755

 R   1 G  14    700     418.26    120.043		0.003443806610848976 | 0.18232743276597552

 R   1 G  15    700      408.6    123.531		0.0 | 0.1723274327659755

 R   1 G  16    700     410.47    125.145		0.0 | 0.1723274327659755

 R   1 G  17    598     421.61    120.491		0.5307559296117614 | 0.14475722503675603

 R   1 G  18    606     414.51    122.351		0.5307559296117614 | 0.14475722503675603

 R   1 G  19    602     424.95    120.373		0.5307559296117614 | 0.14475722503675603

 R   1 G  20    606     417.39    124.178		0.5307559296117614 | 0.14475722503675603

 R   1 G  21    588     408.31    118.697		0.591311014763151 | 0.968148745878618

 R   1 G  22    594     408.35    127.568		0.5207559296117614 | 0.13475722503675602

 R   1 G  23    594      432.8    115.615		0.591311014763151 | 0.968148745878618

 R   1 G  24    594     403.22    127.966		0.591311014763151 | 0.978148745878618

 R   1 G  25    596     402.98    149.611		0.5713110147631509 | 0.968148745878618

 R   1 G  26    586     420.82    136.518		0.601311014763151 | 0.978148745878618

 R   1 G  27    590     403.73    143.804		0.611311014763151 | 0.968148745878618

 R   1 G  28    592     402.26    154.333		0.631311014763151 | 0.968148745878618

 R   1 G  29    594      400.9    152.706		0.621311014763151 | 0.968148745878618

 R   1 G  30    608     389.42    155.641		0.591311014763151 | 0.948148745878618

 R   1 G  31    602     398.89    155.809		0.581311014763151 | 0.998148745878618

 R   1 G  32    602     405.55    143.981		0.581311014763151 | 0.998148745878618

 R   1 G  33    596     423.23    146.265		0.591311014763151 | 0.998148745878618

 R   1 G  34    602     402.78    154.241		0.581311014763151 | 0.948148745878618

 R   1 G  35    610     408.72    141.424		0.581311014763151 | 0.948148745878618

 R   1 G  36    614     420.67    154.805		0.601311014763151 | 0.938148745878618

 R   1 G  37    612     404.97    158.137		0.591311014763151 | 0.958148745878618

 R   1 G  38    596     399.65    153.845		0.601311014763151 | 0.958148745878618

 R   1 G  39    600     415.47    145.448		0.5613110147631509 | 0.988148745878618

 R   1 G  40    600     428.34    147.039		0.591311014763151 | 0.948148745878618

 R   1 G  41    594     392.46    152.419		0.581311014763151 | 0.958148745878618

 R   1 G  42    604     403.76    162.443		0.591311014763151 | 0.958148745878618

 R   1 G  43    606     405.61     158.79		0.591311014763151 | 0.968148745878618

 R   1 G  44    590     411.08    158.419		0.5713110147631509 | 0.948148745878618

 R   1 G  45    606     407.36    154.367		0.611311014763151 | 0.968148745878618

 R   1 G  46    606     421.17    163.112		0.621311014763151 | 0.978148745878618

